objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,Age of Icelus.png,,,The Age of Icelus - 1,Bobby Karmi,2025,Front cover of a unpublished book,literature;mythology;frankenstein;critical writing,"Moscow, Idaho",,,,,,.png,,,
coll002,Bambi and Fivver.png,,,Princes with a Thousand Enemies - 4,Bobby Karmi,2025,Unused design for an essay on Watership Down and Bambi,cinema;animation;watership down;bambi;ecocriticism,,,,,,,.png,,,
coll003,Da Gurls R Biting.png,,,Da Gurls R Biting - 1,Bobby Karmi,2026,Unused design for a playlist centered on women fighting eachother,playlist;music;feminism,,,,,,,.png,,,
coll004,Here Be Witches.png,,,Must Be The Season of the Witch - Here Be Witches,Bobby Karmi,2025,Poster made for Halloween andtesting out canva,graphic design;feminism;florence + the machine,,,,,,,.png,,,
coll005,I Am Very Normal About Pink Floyd.png,,,I Am Very Normal About Pink Floyd - 1,Bobby Karmi,2025,Meme cover for a Best of: Pink Floyd playlist,playlist;music;prog rock;pink floyd,,,,,,,.png,,,
coll006,Imagining a Minotaur Named Ferdinand.png,,,Minotaur Named Ferdinand - 1,Bobby Karmi,2026,Cover page for a poem Karmi wrote in 2025,poetry;mythology;masculinity,,,,,,,.png,,,
coll007,Ishiro Honda.png,,,The Age of Icelus - Ishiro Honda,Bobby Karmi,2025,Interior page for an unpuglished collection of essays with a promient quote from Gojira director Ishiro Honda,cinema;gojira;ishiro honda;critical wiritng,,,,,,,.png,,,
coll008,Portrait of an Autistic Losing His Mind.png,,,Portrait of an Autistic Losing His Mind - 1,Bobby Karmi,2026,Cover art for a playlist about insanity,playlist;prog rock;autism,,,,,,,.png,,,
coll009,Princes with a Thousand Enemies.png,,,Princes with a Thousand Enemies - 1,Bobby Karmi,2025,Cover page for an essay on Watership Down and Bambi,cinema;animation;watership down;bambi;ecocriticism,,,,,,,.png,,,
coll010,Take Me In Your Arms (Back Cover).png,,,Songs for a Friend - 2,Bobby Karmi,2026,Back cover for a plalist Bobby made for Aaron Flake,playlist;soul;r&b;pop;Aaron,,,,,,,.png,,,
